email,prediction
e98a93bfc7,0.22
d813ccb3f5,0.3
3d07a90a91,0.401
5791e966d8,0.379
d982336d49,0.1
31f1c27b8b,0.35
49b5515883,0.05
1f626ad0ca,0.1
cd8649b0b5,0.346
2d52aff849,0.19
a4888d26e0,0.195
942136d8d1,0.12
1b9078042b,0.2
dc6d7d7321,0.08
2f29f7f985,0.15
d97afc96c8,0.1
b5e1bb742e,0.197
7479d52702,0.09
eb825bb808,0.19
fa5e19df4b,0.09
c275a8f43b,0.19
75c111adb5,0.09
fc291771af,0.26
37d0b8e8b6,0.15
ff779b427a,0.11
1e49bbaf1f,0.135
f436f7fc36,0.348
0e235cf676,0.07
0df7005b13,0.14
3ebb92f34c,0.594
74d9b4aa20,0.23
f0f62a0908,0.03
8445045ca8,0.07
487c0b67a9,0.1
8e0354be60,0.12
77915f620b,0.15
7a56ebc3b3,0.09
fc270b2e1f,0.2
15729a0667,0.22
f707f9a943,0.394
0c05e59e7a,0.28
12d4719bf6,0.397
1fdc1ccdab,0.34
2230a3b912,0.14
e6a353d81c,0.139
27d38deaa5,0.31
f4b1bc7483,0.1
15a56d8f1d,0.18
3d4c8fc654,0.16
181e9106e8,0.21
35947b85c1,0.305
61532cee5e,0.11
c2e2c4fd8b,0.09
45a5525796,0.19
b091da88e5,0.48
c97c5fd443,0.1
a4faa25a83,0.17
68a4c6f726,0.04
7d79e7402b,0.04
588f20c443,0.12
0716c90528,0.09
50ba95d560,0.05
690d9ed13b,0.222
7ad6166185,0.13
c6349d1a32,0.26
979c4d6a82,0.05
efb22faeff,0.15
b287b43b5b,0.05
7b7c75c638,0.05
a988468f24,0.13
c1f029f521,0.12
1c42833e8b,0.17
410d5b81c8,0.508
42eaef544c,0.21
186a29e16b,0.13
cfa22357d3,0.25
ad7d7cb93c,0.04
7343478f56,0.17
4349a03cda,0.144
ac208e3250,0.07
22572777d1,0.03
7f8499e318,0.21
fc7bd0c7db,0.13
dc93cb3cd1,0.03
78fda14f41,0.08
8bf14f74a5,0.13
c6dc4fcdfb,0.272
6bfdba46ce,0.1
fad95fdc15,0.09
8270bd52d8,0.14
c0728eaf2e,0.19
224dcc176f,0.06
fcdf29e034,0.01
d655703268,0.16
7d08ea499c,0.33
6dc27c5618,0.16
d59ca8e30b,0.14
cd89f43955,0.12
8a4a00cd26,0.11
3c48910119,0.11
cf1ffe60fa,0.287
8e6823ee4d,0.106
864111b074,0.05
1b2d6ce20e,0.13
9659642a02,0.29
fe0d4fd3c9,0.08
7c1119601b,0.16
d16d1424b4,0.18
2edbe26993,0.273
16541941cd,0.12
60645c2cc6,0.17
f31c383065,0.14
d663bcc29b,0.258
5d298e4976,0.26
53074de4dc,0.38
57ac62589d,0.14
47cd3191f9,0.09
9effadc9c8,0.14
645a6d1e52,0.15
f477049f74,0.163
bc1647fbbe,0.09
79c3effa29,0.08
ff3d9bfd9a,0.05
d7ebbf54e5,0.3
d9d69746c6,0.28
162e6b4b4d,0.18
2aeef75cab,0.13
2d8f334070,0.239
8723992065,0.14
7aa5626fbe,0.21
a322f3e459,0.06
fd61c32c54,0.195
4d3a02004a,0.102
4059176445,0.12
b6ac97fa6e,0.0
9e0b95a5fd,0.06
9239471c1f,0.28
9302f97a11,0.127
390444a94a,0.344
07ea1df0d0,0.15
b2c8e72f0e,0.19
c809ec1117,0.07
4a3b969ce9,0.13
02334b3014,0.196
88952e424a,0.11
1928b5f93e,0.11
50da602eaa,0.26
1892cc530b,0.03
61b1134991,0.06
19fa4817f5,0.24
4946175ae6,0.16
69613eefd2,0.17
f70c241d93,0.218
7424d91989,0.784
cc3072b8d8,0.319
25b6d16f24,0.12
7220d6e16a,0.13
9d405bcd92,0.09
b7c493c166,0.301
cc41ba408c,0.161
b16db2abb5,0.26
dc5b28f354,0.1
ca7cf5d8aa,0.12
7b9cdf46f4,0.15
aca1737023,0.49
22666ccaeb,0.015
bfe79d8b41,0.06
824d4a27d7,0.2
f7b6ca430f,0.082
4a7c1f2833,0.15
39a428819e,0.269
498a79271b,0.016
1b8d1f0c94,0.03
2ed6a352aa,0.18
3d57566c52,0.118
312c9aa51c,0.21
154b04a48d,0.12
85690a392e,0.618
